komoditas,opt,Provinsi,kab_kota,tahun,triwulan,luas_komoditas,serangan_ringan,serangan_berat,total_serangan,Luas Pengendalian APBN (Ha),Luas Pengendalian APBD I (Ha),Luas Pengendalian APBD II (Ha),Luas Pengendalian Swadaya (Ha),total_pengendalian,cara_pengendalian,provinsi_folder,file_asal,provinsi,tmax_rata,tmin_rata,suhu_rata,hujan_total,gdd_total_triwulan,jumlah_hari,gdd_akumulasi_tahunan,tbase,gdd_kuning,gdd_merah,intervensi_hijau,intervensi_kuning,intervensi_merah,gdd_triwulan_final,gdd_akumulasi_final,status,intervensi
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2024,2,3140.26,81.0,30.5,111.5,0.0,0.0,0.0,40.0,40.0,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.73,24.56,28.15,823.55,1597.17,88.0,3176.03,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2024,2,3071.8,28.0,0.0,28.0,0.0,0.0,0.0,12.0,12.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.73,24.56,28.15,823.55,1597.17,88.0,3176.03,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2024,2,19173.5,775.0,30.0,805.0,0.0,0.0,0.0,120.0,120.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.73,24.56,28.15,823.55,1597.17,88.0,3176.03,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2024,2,7692.61,425.0,305.0,730.0,0.0,0.0,0.0,15.0,15.0,Mekanis,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.73,24.56,28.15,823.55,1597.17,88.0,3176.03,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2024,3,3140.26,76.0,31.0,107.0,0.0,0.0,0.0,36.0,36.0,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.43,25.3,28.36,1012.25,1670.89,91.0,4846.92,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2024,3,3399.3,132.12,13.38,145.5,0.0,0.0,0.0,86.16,86.16,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.43,25.3,28.36,1012.25,1670.89,91.0,4846.92,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2024,3,3071.8,30.0,0.0,30.0,0.0,0.0,0.0,12.0,12.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.43,25.3,28.36,1012.25,1670.89,91.0,4846.92,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2024,3,7692.61,464.0,296.0,760.0,0.0,0.0,213.0,15.0,228.0,Mekanis,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.43,25.3,28.36,1012.25,1670.89,91.0,4846.92,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2024,3,19173.5,735.0,17.0,752.0,0.0,0.0,0.0,135.0,135.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.43,25.3,28.36,1012.25,1670.89,91.0,4846.92,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2024,4,3399.3,143.12,13.38,156.5,0.0,0.0,0.0,86.16,86.16,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.78,24.37,28.08,512.65,1265.25,70.0,6112.17,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
